Date,Close/Last,Volume,Open,High,Low,Close,daily_return,MA_20,MA_50
26/05/2016,80.27,2501018,80.84,81.0799,80.12,80.27,,80.27,80.27
27/05/2016,80.5,1744395,80.2,80.5,79.82,80.5,0.002865329512893977,80.38499999999999,80.38499999999999
31/05/2016,82.29,6379789,82.1,83.12,81.86,82.29,0.022236024844720648,81.02,81.02
01/06/2016,82.83,2451936,81.96,83.01,81.3501,82.83,0.006562158220925873,81.4725,81.4725
02/06/2016,84.06,2828071,82.73,84.14,82.42,84.06,0.01484969214052878,81.99,81.99
03/06/2016,85.57,4243997,84.87,86.2,84.7985,85.57,0.017963359505115184,82.58666666666666,82.58666666666666
06/06/2016,87.48,4967685,85.75,87.805,85.7,87.48,0.022320906859880862,83.28571428571429,83.28571428571429
07/06/2016,87.31,2456231,87.28,87.85,87.05,87.31,-0.0019433013260173881,83.78875,83.78875
08/06/2016,87.18,3511275,87.97,88.1999,86.42,87.18,-0.0014889474287023141,84.16555555555556,84.16555555555556
09/06/2016,86.95,1802168,86.29,87.16,85.96,86.95,-0.0026382197751778635,84.444,84.444
10/06/2016,85.67,3538348,86.06,86.49,85.1,85.67,-0.014721104082806247,84.55545454545455,84.55545454545455
13/06/2016,85.32,2771475,85.64,86.87,85.3,85.32,-0.004085444146142314,84.61916666666667,84.61916666666667
14/06/2016,85.15,3167968,85.0,85.39,83.635,85.15,-0.0019924988279417244,84.66,84.66
15/06/2016,84.83,1465698,85.56,85.78,84.74,84.83,-0.0037580739870817226,84.67214285714286,84.67214285714286
16/06/2016,85.12,2075502,84.31,85.31,83.1506,85.12,0.0034186019097017795,84.702,84.702
17/06/2016,86.0,3526136,85.64,86.54,85.45,86.0,0.010338345864661536,84.783125,84.783125
20/06/2016,85.59,3069638,86.76,86.99,85.46,85.59,-0.0047674418604650715,84.83058823529413,84.83058823529413
21/06/2016,84.09,3534045,85.39,85.4,84.04,84.09,-0.017525411847178374,84.78944444444444,84.78944444444444
22/06/2016,83.92,2177514,84.56,84.85,83.89,83.92,-0.0020216434772267755,84.74368421052633,84.74368421052633
23/06/2016,84.29,2277959,84.93,84.95,83.53,84.29,0.004408960915157412,84.721,84.721
24/06/2016,81.72,4897365,81.58,83.16,81.4,81.72,-0.0304899750860127,84.79350000000001,84.57809523809524
27/06/2016,80.58,3572398,81.33,81.37,79.78,80.58,-0.013950073421439058,84.7975,84.39636363636363
28/06/2016,81.38,2537848,80.93,81.85,80.04,81.38,0.009928021841647983,84.752,84.26521739130435
29/06/2016,81.51,2821092,82.03,82.28,80.55,81.51,0.0015974440894570563,84.686,84.15041666666667
30/06/2016,81.04,4921322,81.89,81.95,79.83,81.04,-0.005766163660900436,84.535,84.02600000000001
01/07/2016,80.9,2734341,81.22,81.38,80.34,80.9,-0.0017275419545903503,84.3015,83.90576923076924
05/07/2016,79.17,2990163,80.26,80.53,78.61,79.17,-0.02138442521631645,83.886,83.73037037037038
06/07/2016,79.47,2386870,79.05,79.49,78.25,79.47,0.0037893141341416303,83.494,83.57821428571428
07/07/2016,79.37,2167512,79.65,80.17,79.04,79.37,-0.0012583364791745044,83.1035,83.43310344827586
08/07/2016,80.97,1974802,80.22,81.09,80.0,80.97,0.020158750157490246,82.80449999999999,83.35100000000001
11/07/2016,80.99,2314715,80.97,81.4,80.49,80.99,0.0002470050636036447,82.57050000000001,83.27483870967743
12/07/2016,82.42,3866481,81.29,82.64,80.38,82.42,0.017656500802568198,82.4255,83.248125
13/07/2016,82.96,2772499,82.68,83.52,82.43,82.96,0.006551807813637289,82.316,83.23939393939395
14/07/2016,83.64,3587734,83.58,84.65,83.3921,83.64,0.00819672131147553,82.25649999999999,83.25117647058823
15/07/2016,83.41,2774593,83.96,83.96,82.8825,83.41,-0.002749880439980923,82.171,83.25571428571428
18/07/2016,83.82,2489129,83.21,83.92,81.96,83.82,0.004915477760460307,82.062,83.2713888888889
19/07/2016,83.26,2487648,82.82,83.32,82.4703,83.26,-0.006680983058935719,81.9455,83.27108108108109
20/07/2016,82.81,2297555,83.04,83.46,82.75,82.81,-0.005404756185443227,81.8815,83.25894736842106
21/07/2016,82.22,3123747,83.06,83.62,82.105,82.22,-0.007124743388479682,81.7965,83.23230769230769
22/07/2016,80.12,4749550,82.2,82.2,79.84,80.12,-0.02554123084407678,81.588,83.1545
25/07/2016,77.92,7435804,79.03,79.1,76.87,77.92,-0.027458811782326564,81.398,83.02682926829269
26/07/2016,78.99,4139767,78.68,79.99,78.56,78.99,0.01373203285420943,81.3185,82.93071428571429
27/07/2016,78.45,2496343,79.36,79.5,78.39,78.45,-0.006836308393467383,81.172,82.82651162790698
28/07/2016,78.17,4062409,78.48,78.555,77.81,78.17,-0.003569152326322489,81.005,82.72068181818182
29/07/2016,77.71,3753890,77.27,78.1835,77.132,77.71,-0.005884610464372608,80.8385,82.60933333333334
01/08/2016,77.69,1898447,77.75,77.98,77.18,77.69,-0.0002573671342168682,80.67800000000001,82.50239130434782
02/08/2016,77.7,3483356,77.36,77.94,77.36,77.7,0.00012871669455538637,80.6045,82.40021276595745
03/08/2016,78.31,1865227,77.76,78.61,77.7099,78.31,0.007850707850707739,80.54650000000001,82.315
04/08/2016,77.74,2235467,78.4,78.76,77.41,77.74,-0.007278763887115458,80.465,82.22163265306122
05/08/2016,78.34,2458081,78.07,78.83,77.71,78.34,0.007718034473887414,80.3335,82.14399999999999
08/08/2016,78.92,2697389,78.55,78.99,78.41,78.92,0.007403625223385113,80.23,82.117
09/08/2016,78.89,3064093,79.0,79.5,78.3943,78.89,-0.0003801317790167458,80.0535,82.0848
10/08/2016,78.15,1778916,78.98,79.19,77.99,78.15,-0.009380149575358043,79.813,82.00200000000001
11/08/2016,77.99,2773015,78.29,78.47,77.92,77.99,-0.0020473448496483027,79.5305,81.90520000000001
12/08/2016,77.0,3812239,77.99,78.23,76.83,77.0,-0.012693935119887145,79.21000000000001,81.76400000000001
15/08/2016,78.28,2667441,77.15,78.649,76.96,78.28,0.01662337662337654,78.933,81.6182
16/08/2016,78.15,1947391,78.19,78.42,77.74,78.15,-0.0016607051609606183,78.67750000000001,81.4316
17/08/2016,77.43,2762848,78.0,78.31,77.24,77.43,-0.009213051823416474,78.4085,81.23400000000001
18/08/2016,76.94,4038369,77.16,77.67,76.73,76.94,-0.006328296525894506,78.14450000000001,81.0292
19/08/2016,87.32,23723880,79.51,88.09,79.37,87.32,0.1349103197296595,78.5045,81.03659999999999
22/08/2016,87.96,7994408,86.9,88.43,86.6,87.96,0.007329363261566746,79.00649999999999,81.08239999999999
