Date,Close/Last,Volume,Open,High,Low,Close,daily_return,MA_20,MA_50
06/01/2016,8.08,,8.08,8.08,8.08,8.08,,8.08,8.08
07/01/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
08/01/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
09/01/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
11/01/2016,0.48,1250.0,0.48,0.48,0.48,0.48,-0.9405940594059405,6.56,6.56
12/01/2016,0.8,2500.0,0.8,0.8,0.8,0.8,0.6666666666666667,5.6000000000000005,5.6000000000000005
06/02/2016,8.08,,8.08,8.08,8.08,8.08,9.1,5.954285714285715,5.954285714285715
08/02/2016,8.08,,8.08,8.08,8.08,8.08,0.0,6.22,6.22
09/02/2016,8.08,,8.08,8.08,8.08,8.08,0.0,6.426666666666667,6.426666666666667
11/02/2016,0.4,1250.0,0.4,0.4,0.4,0.4,-0.9504950495049505,5.824,5.824
12/02/2016,0.72,1250.0,0.72,0.72,0.72,0.72,0.7999999999999998,5.36,5.36
06/03/2016,8.08,,8.08,8.08,8.08,8.08,10.222222222222223,5.586666666666666,5.586666666666666
08/03/2016,8.08,,8.08,8.08,8.08,8.08,0.0,5.7784615384615385,5.7784615384615385
10/03/2016,3.12,,3.12,3.12,3.12,3.12,-0.6138613861386139,5.588571428571428,5.588571428571428
11/03/2016,0.24,3472.0,0.4,0.4,0.24,0.24,-0.9230769230769231,5.232,5.232
08/04/2016,8.08,,8.08,8.08,8.08,8.08,32.66666666666667,5.41,5.41
10/04/2016,2.8,13.0,2.8,2.8,2.8,2.8,-0.6534653465346535,5.2564705882352944,5.2564705882352944
11/04/2016,0.24,,0.24,0.24,0.24,0.24,-0.9142857142857143,4.977777777777778,4.977777777777778
07/05/2016,8.08,,8.08,8.08,8.08,8.08,32.66666666666667,5.141052631578947,5.141052631578947
08/05/2016,8.08,,8.08,8.08,8.08,8.08,0.0,5.287999999999999,5.287999999999999
10/05/2016,2.8,,2.8,2.8,2.8,2.8,-0.6534653465346535,5.024,5.16952380952381
12/05/2016,0.72,2500.0,0.72,0.72,0.72,0.72,-0.7428571428571429,4.656000000000001,4.967272727272728
23/05/2016,8.08,,8.08,8.08,8.08,8.08,,8.08,8.08
24/05/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
25/05/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
26/05/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
27/05/2016,8.08,,8.08,8.08,8.08,8.08,10.222222222222223,4.656000000000001,5.102608695652174
31/05/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
01/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
02/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
03/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
06/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,5.036,5.340800000000001
07/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
08/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
09/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,5.3999999999999995,5.543703703703704
10/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
12/06/2016,0.72,,0.72,0.72,0.72,0.72,-0.7428571428571429,4.768,5.282758620689655
13/06/2016,8.08,,8.08,8.08,8.08,8.08,10.222222222222223,5.152,5.376
14/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,5.5200000000000005,5.463225806451613
15/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
16/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,5.52,5.621818181818182
17/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,5.768,5.694117647058824
20/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,6.159999999999999,5.7622857142857145
21/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
22/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,6.4239999999999995,5.887567567567568
23/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,6.816,5.945263157894736
24/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,6.816,6.0
27/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,6.816,6.052
28/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.080000000000001,6.101463414634146
29/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
30/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.448,6.193488372093023
01/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
05/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
06/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.447999999999999,6.236363636363635
07/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.448,6.277333333333334
08/07/2016,8.08,13.0,8.08,8.08,8.08,8.08,0.0,8.08,8.08
09/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.447999999999999,6.316521739130435
10/07/2016,4.08,125.0,4.08,4.08,4.08,4.08,-0.49504950495049505,7.248,6.268936170212766
11/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
12/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
13/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
14/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
15/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
18/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
19/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
20/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
21/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.12,6.3712
22/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.12,6.3712
25/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.12,6.3712
26/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.12,6.3712
27/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.12,6.5248
28/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.119999999999999,6.672000000000001
29/07/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
01/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
02/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
03/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
04/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
05/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
06/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.12,6.672000000000001
07/08/2016,8.08,13.0,8.08,8.08,8.08,8.08,0.0,7.12,6.7712
08/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
09/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
10/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
11/08/2016,0.24,,0.24,0.24,0.24,0.24,-0.9702970297029703,6.928,6.876799999999999
12/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
15/08/2016,8.08,,8.08,8.08,8.08,8.08,9.1,7.324,6.888
16/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.324000000000001,6.888000000000001
17/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.324,6.9936
18/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.324000000000001,7.1408000000000005
19/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.324,7.1408
22/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.324,7.1408000000000005
23/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,7.324000000000001,7.1408000000000005
24/08/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
