Date,Close/Last,Volume,Open,High,Low,Close,daily_return,MA_20,MA_50
07/01/2016,8.08,,8.08,8.08,8.08,8.08,,8.08,8.08
08/01/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
09/01/2016,8.08,,8.08,8.08,8.08,8.08,0.0,8.08,8.08
11/01/2016,0.48,1250.0,0.48,0.48,0.48,0.48,-0.9405940594059405,6.18,6.18
12/01/2016,0.8,2500.0,0.8,0.8,0.8,0.8,0.6666666666666667,5.104,5.104
08/02/2016,8.08,,8.08,8.08,8.08,8.08,9.1,5.6000000000000005,5.6000000000000005
09/02/2016,8.08,,8.08,8.08,8.08,8.08,0.0,5.954285714285715,5.954285714285715
11/02/2016,0.4,1250.0,0.4,0.4,0.4,0.4,-0.9504950495049505,5.26,5.26
12/02/2016,0.72,1250.0,0.72,0.72,0.72,0.72,0.7999999999999998,4.7555555555555555,4.7555555555555555
08/03/2016,8.08,,8.08,8.08,8.08,8.08,10.222222222222223,5.087999999999999,5.087999999999999
10/03/2016,3.12,,3.12,3.12,3.12,3.12,-0.6138613861386139,4.909090909090909,4.909090909090909
11/03/2016,0.24,3472.0,0.4,0.4,0.24,0.24,-0.9230769230769231,4.5200000000000005,4.5200000000000005
08/04/2016,8.08,,8.08,8.08,8.08,8.08,32.66666666666667,4.793846153846154,4.793846153846154
10/04/2016,2.8,13.0,2.8,2.8,2.8,2.8,-0.6534653465346535,4.651428571428572,4.651428571428572
11/04/2016,0.24,,0.24,0.24,0.24,0.24,-0.9142857142857143,4.357333333333333,4.357333333333333
07/05/2016,8.08,,8.08,8.08,8.08,8.08,32.66666666666667,4.59,4.59
08/05/2016,8.08,,8.08,8.08,8.08,8.08,0.0,4.7952941176470585,4.7952941176470585
10/05/2016,2.8,,2.8,2.8,2.8,2.8,-0.6534653465346535,4.684444444444444,4.684444444444444
12/05/2016,0.72,2500.0,0.72,0.72,0.72,0.72,-0.7428571428571429,4.47578947368421,4.47578947368421
07/06/2016,8.08,,8.08,8.08,8.08,8.08,10.222222222222223,4.656000000000001,4.656000000000001
09/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,4.656000000000001,4.819047619047619
10/06/2016,2.8,,2.8,2.8,2.8,2.8,-0.6534653465346535,4.392,4.7272727272727275
12/06/2016,0.72,,0.72,0.72,0.72,0.72,-0.7428571428571429,4.024,4.55304347826087
17/06/2016,8.08,,8.08,8.08,8.08,8.08,10.222222222222223,4.404,4.7
20/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,4.768,4.8351999999999995
21/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,4.768,4.96
22/06/2016,8.08,,8.08,8.08,8.08,8.08,0.0,4.768,5.075555555555555
