Date,Close/Last,Volume,Open,High,Low,Close,daily_return,daily_return_pct,MA_5,MA_20,MA_50,MA_200,log_ret_1,roc_5,roc_20,sma_20,sma_50,sma_100,rsi_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,KAMA,momentum_12_1,TP,MA_TP,MD,CCI,Williams_R,K,D,J,TR,ATR,log_return,HV_daily,HV_annual,excess_ret,Sharpe_Ratio,CAGR_Full,CAGR_252D,OBV,MFI,vol_6m,BB_mid,BB_upper,BB_lower,next_close,signal
23/05/2016,61.21,106946,61.755,61.755,61.15,61.21,,,61.21,61.21,61.21,61.21,,,,,,,,61.21,61.21,0.0,0.0,0.0,,,61.37166666666667,,,,,50.0,50.0,50.0,0.605000000000004,,,,,,,,,0.0,,,,,,61.86,1
24/05/2016,61.86,153764,61.5,62.06,61.42,61.86,0.010619179872569884,1.0619179872569884,61.535,61.535,61.535,61.535,0.010563192393945542,,,,,,,61.31,61.258148148148145,0.05185185185185759,0.010370370370371518,0.041481481481486074,,,61.78,,,,,50.0,50.0,50.0,0.8500000000000014,,0.010563192393945127,,,0.010501876158735435,,46.38027590202075,,153764.0,,,,,,62.09,1
25/05/2016,62.09,99792,62.18,62.235,62.05,62.09,0.003718073068218697,0.3718073068218697,61.72,61.72,61.72,61.72,0.003711178119877978,,,,,,,61.43,61.31976680384088,0.11023319615912186,0.03034293552812159,0.07989026063100027,,,62.125,,,,,50.0,50.0,50.0,0.375,,0.0037111781198780076,,,0.003600769354384248,,12.556374982339772,,253556.0,,,,,,62.265,1
26/05/2016,62.265,60134,62.23,62.42,62.16,62.265,0.002818489289740711,0.2818489289740711,61.85625,61.85625,61.85625,61.85625,0.0028145247963102804,,,,,,,61.558461538461536,61.389784077630445,0.16867746083109125,0.05800984058871553,0.11066762024237572,,,62.281666666666666,,,,,50.0,50.0,50.0,0.3299999999999983,,0.0028145247963103563,,,0.002701185575906262,,7.009056821391097,,313690.0,,,,,,62.37,1
27/05/2016,62.37,61750,62.41,62.425,62.175,62.37,0.001686340640809414,0.1686340640809414,61.959,61.959,61.959,61.959,0.0016849203649194067,,,,,,,61.683313609467454,61.46239266447263,0.2209209449948233,0.09059206146993709,0.1303288835248862,,,62.32333333333333,,,,,50.0,50.0,50.0,0.25,,0.0016849203649194457,,,0.0015690369269749649,,4.552698600051322,,375440.0,,,,,,62.015,0
31/05/2016,62.015,96972,62.49,62.49,61.855,62.015,-0.0056918390251723405,-0.569183902517234,62.120000000000005,61.968333333333334,61.968333333333334,61.968333333333334,-0.005708099270738565,0.01315144584218264,,,,,,61.734342284934,61.50332654117836,0.23101574375564127,0.11867679792707793,0.11233894582856334,,,62.120000000000005,,,,,50.0,50.0,50.0,0.6350000000000051,,-0.005708099270738355,,,-0.00580914273900679,,0.8158099372268555,,278468.0,,,,,,62.34,1
01/06/2016,62.34,169960,61.895,62.445,61.5401,62.34,0.005240667580424185,0.5240667580424185,62.21600000000001,62.021428571428565,62.021428571428565,62.021428571428565,0.0052269830718980614,0.0077594568380214834,,,,,,61.82752039494416,61.56530235294292,0.262218042001237,0.14738504674190975,0.11483299525932725,,,62.108366666666676,,,,,50.0,50.0,50.0,0.9048999999999978,,0.005226983071898245,,,0.005123363866589736,,1.1009270935117375,,448428.0,,,,,,62.55,1
02/06/2016,62.55,187454,62.215,62.55,62.19,62.55,0.003368623676611948,0.3368623676611948,62.30800000000001,62.0875,62.0875,62.0875,0.0033629625737292557,0.007408600418746802,,,,,,61.938671103414286,61.638242919391594,0.30042818402269234,0.17799367419806628,0.12243450982462606,,,62.43,,,,,50.0,50.0,50.0,0.35999999999999943,,0.0033629625737289425,,,0.003251319962777499,,1.2055414986621509,,635882.0,,,,,,62.495,0
03/06/2016,62.495,94206,62.495,62.6347,62.0525,62.495,-0.0008792965627497651,-0.08792965627497651,62.354,62.13277777777778,62.13277777777778,62.13277777777778,-0.0008796833707354068,0.003693889022725383,,,,,,62.024260164427474,61.70170640684407,0.32255375758340676,0.20690569087513438,0.11564806670827238,,,62.39406666666667,,,,,50.0,50.0,50.0,0.5822000000000003,,-0.000879683370734974,,,-0.0009966002765842141,,0.9934303096086459,,541676.0,,,,,,63.085,1
06/06/2016,63.085,68212,62.525,63.1549,62.46,63.085,0.009440755260420985,0.9440755260420985,62.497,62.227999999999994,62.227999999999994,62.227999999999994,0.009396469837519739,0.011463844797178213,,,,,,62.18745090836171,61.80417259892969,0.383278309432022,0.24218021458651193,0.14109809484551009,62.227999999999994,,62.89996666666667,,,,,65.32364977808524,55.10788325936174,85.75518281553224,0.694899999999997,,0.00939646983751957,,,0.009323451546586536,,1.1971863940263918,,609888.0,,,,,,63.3,1
