Date,Close/Last,Volume,Open,High,Low,Close,daily_return,daily_return_pct,MA_5,MA_20,MA_50,MA_200,log_ret_1,roc_5,roc_20,sma_20,sma_50,sma_100,rsi_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,KAMA,momentum_12_1,TP,MA_TP,MD,CCI,Williams_R,K,D,J,TR,ATR,log_return,HV_daily,HV_annual,excess_ret,Sharpe_Ratio,CAGR_Full,CAGR_252D,OBV,MFI,vol_6m,BB_mid,BB_upper,BB_lower,next_close,signal
11/01/2024,25.1665,1234,25.1,25.52,25.1,25.1665,,,,25.1665,25.1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2024,26.5452,2036,26.72,26.72,26.53,26.5452,0.0547831442592336,,,25.85585,25.85585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2024,26.775,2177,26.66,26.823,26.66,26.775,0.008656932326748246,,,26.162233333333333,26.162233333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2024,25.01,106,25.1,25.1,25.01,25.01,-0.0659197012138187,,,25.874175,25.874175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/04/2024,26.9509,568,26.83,27.0196,26.83,26.9509,0.0776049580167932,,,26.08952,26.08952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/05/2024,25.4649,300,25.45,25.4649,25.22,25.4649,-0.055137305247691226,,,25.985416666666666,25.985416666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2024,26.9497,186,26.9,26.9497,26.9,26.9497,0.0583077098280377,,,26.12317142857143,26.12317142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/06/2024,26.2995,6952,25.89,26.79,25.89,26.2995,-0.0241264281235041,,,26.1452125,26.1452125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2024,26.5908,1995,26.88,26.88,26.535,26.5908,0.0110762562025894,,,26.19472222222222,26.19472222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2024,26.23,1397,26.4,26.52,26.23,26.23,-0.013568602674609354,,,26.19825,26.19825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/08/2024,26.7204,4963,26.49,26.83,26.49,26.7204,0.018696149447197996,,,26.24571818181818,26.24571818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2024,26.1152,2180,26.3017,26.34,26.11,26.1152,-0.0226493615365039,,,26.234841666666668,26.234841666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2024,25.3884,1004,25.35,25.3884,25.31,25.3884,,,,25.3884,25.3884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/2024,26.115,1353,26.144,26.144,26.11,26.115,-7.65837519922652e-06,,,26.22562307692308,26.22562307692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/10/2024,25.56,167,25.5693,25.5693,25.56,25.56,-0.0212521539345204,,,26.178078571428575,26.178078571428575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/10/2024,25.58,123,25.6,25.6,25.58,25.58,0.0007824726134584292,,,26.13820666666667,26.13820666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/10/2024,25.8352,366,25.72,25.9,25.72,25.8352,0.009976544175136937,,,26.11926875,26.11926875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/10/2024,26.08,1021,25.98,26.11,25.98,26.08,0.0094754443549884,,,26.11695882352941,26.11695882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/10/2024,26.1114,1251,25.95,26.27,25.95,26.1114,0.0012039877300613,,,26.11665,26.11665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/10/2024,26.0355,936,26.21,26.21,25.96,26.0355,-0.0029067763505595,,,26.11237894736842,26.11237894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2024,25.8673,2319,25.8284,25.8673,25.79,25.8673,-0.0064604098250464,,,26.100125,26.100125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/10/2024,25.785,4042,25.77,25.785,25.725,25.785,-0.0031816231303615,,,26.13105,26.08511904761905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/10/2024,25.5313,1467,25.57,25.79,25.5313,25.5313,-0.009839053713399215,,,26.080354999999997,26.059945454545456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/10/2024,25.4766,237,25.59,25.76,25.4766,25.4766,-0.0021424682644440862,,,26.015435000000004,26.03458260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/10/2024,25.4385,2519,25.59,25.6,25.4385,25.4385,-0.0014954899790395881,,,26.03686,26.00974583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/10/2024,25.4267,507,25.26,25.47,25.2599,25.4267,-0.0004638638284490959,,,25.960649999999998,25.986424000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/10/2024,25.4207,112,25.42,25.4207,25.42,25.4207,-0.0002359724226895,,,25.958440000000003,25.964665384615387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/10/2024,24.8778,124,25.06,25.06,24.8778,24.8778,-0.021356610950917898,,,25.854845,25.924411111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2024,25.1665,1234,25.1,25.52,25.1,25.1665,0.011604723890376,,,25.59880625,25.59880625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/11/2024,25.01,106,25.1,25.1,25.01,25.01,-0.0062185842290345,,,25.56417058823529,25.56417058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2024,25.4649,300,25.45,25.4649,25.22,25.4649,0.0181887245101959,,,25.55865555555556,25.55865555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2024,26.2995,6952,25.89,26.79,25.89,26.2995,0.0327745249343212,,,25.59764736842105,25.59764736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/11/2024,26.23,1397,26.4,26.52,26.23,26.23,-0.0026426357915548,,,25.629265,25.629265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/11/2024,26.7204,4963,26.49,26.83,26.49,26.7204,0.0186961494471979,,,25.695865000000005,25.68122380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2024,25.3884,1004,25.35,25.3884,25.31,25.3884,0.0205243228902878,,,25.80929,25.905267857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2024,27.2949,3982,28.05,28.05,27.09,27.2949,0.07509334971876913,,,25.844495000000002,25.95318620689655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/2024,26.175,3891,26.27,26.33,26.15,26.175,-0.0410296429003219,,,25.841745,25.96058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2024,26.7259,960,26.97,26.97,26.7259,26.7259,0.021046800382043873,,,25.84202,25.985267741935484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/11/2024,25.8945,1486,26.55,26.55,25.8945,25.8945,-0.031108400465466,,,25.830985,25.98243125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2024,25.7495,813,25.88,25.88,25.715,25.7495,-0.0055996447121975,,,25.81271,25.975372727272728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/11/2024,26.37,6606,25.6,26.37,25.6,26.37,0.0240975552923357,,,25.85321,25.986979411764707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2024,26.1752,1104,25.8089,26.25,25.8089,26.1752,-0.0073871824042472944,,,25.88297,25.99235714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/11/2024,26.1416,626,25.95,26.1416,25.95,26.1416,-0.0012836578135028,,,25.898290000000003,25.996502777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2024,26.4091,653,26.46,26.46,26.4091,26.4091,0.010232732502983621,,,25.914745,26.007654054054054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/11/2024,26.4704,580,26.4657,26.4704,26.4657,26.4704,0.0023211695968436974,,,25.932695000000002,26.019831578947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/11/2024,26.2764,799,26.44,26.44,26.115,26.2764,-0.007328941005802836,,,25.944740000000003,26.026410256410255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/11/2024,26.4775,733,26.42,26.57,26.4199,26.4775,0.0076532553926718,,,25.97525,26.0376875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2024,26.3747,948,27.63,27.63,26.3747,26.3747,-0.0038825417807571982,,,26.004735,26.045907317073173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/11/2024,26.725,218,26.58,26.725,26.58,26.725,0.013281667658779028,,,26.064420000000002,26.062076190476187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/12/2024,26.5452,2036,26.72,26.72,26.53,26.5452,-0.0067277829747427,,,26.310345,25.99410555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/12/2024,26.775,2177,26.66,26.823,26.66,26.775,0.0086569323267482,,,26.398595,26.01521081081081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/12/2024,26.9509,568,26.83,27.0196,26.83,26.9509,0.0065695611577965,,,26.472895,26.039834210526315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/12/2024,26.9497,186,26.9,26.9497,26.9,26.9497,-4.4525414735763214e-05,,,26.505405000000003,26.0631641025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/12/2024,26.5908,1995,26.88,26.88,26.535,26.5908,-0.0133174024200639,,,26.523445,26.076355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/12/2024,26.1152,2180,26.3017,26.34,26.11,26.1152,-0.017885885343803,,,26.493185,26.07730243902439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2024,26.115,1353,26.144,26.144,26.11,26.115,-7.65837519922652e-06,,,26.43419,26.0782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2024,26.8522,1684,27.14,27.14,26.76,26.8522,0.0047595884003741,,,26.1332,26.0804511627907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/2024,26.0429,3045,26.35,26.43,26.0429,26.0429,-0.03013905750739232,,,26.163420000000002,26.07959772727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/12/2024,26.0181,1526,26.015,26.03,26.0071,26.0181,-0.0009522749002607,,,26.19299,26.078231111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/12/2024,26.3504,3470,27.0,27.0,25.98,26.3504,0.01277187803875,,,26.239475,26.084147826086955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/12/2024,25.9814,5390,25.91,26.15,25.894,25.9814,-0.01400358248831135,,,26.294655,26.08196170212766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/12/2024,25.3601,1895,26.0,26.065,25.3601,25.3601,-0.0239132610251949,,,26.29324,26.066922916666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/12/2024,25.4601,2813,25.6057,25.6057,25.35,25.4601,0.0039432021167109,,,26.2015,26.054538775510203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/12/2024,25.6288,274,25.36,25.6288,25.36,25.6288,0.0066260541003373,,,26.17419,26.046024000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/12/2024,25.5834,890,25.54,25.5834,25.49,25.5834,-0.0017714446247969473,,,26.117065000000004,26.054362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/12/2024,25.751,490,25.64,25.751,25.64,25.751,0.006551122993816216,,,26.10989,26.038478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/12/2024,25.9075,1248,25.88,25.97,25.88,25.9075,0.0060774338860625,,,26.117790000000003,26.021128000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/12/2024,25.71,681,25.91,25.91,25.702,25.71,-0.00762327511338412,,,26.084789999999998,26.035128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/12/2024,25.5224,1326,25.202,25.5224,25.202,25.5224,-0.007296771684169534,,,26.05215,26.006558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2024,25.457,600,25.43,25.5677,25.43,25.457,-0.0025624549415416142,,,26.017919999999997,26.006400000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2025,25.3047,693,25.559,25.56,25.3047,25.3047,-0.0059826373885375,,,25.94872,26.018934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2025,25.6116,935,25.45,25.668,25.45,25.6116,0.0121281817211822,,,25.881755,26.01382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/2025,29.04,15006,29.05,29.11,28.55,29.04,0.1407471422398554,,,26.149465,26.048206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2025,30.34,13378,30.01,30.49,30.01,30.34,0.0447658402203856,,,26.342945,26.129016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/01/2025,25.3557,888,25.48,25.54,25.3557,25.3557,-0.0099915663215105,,,25.802055000000003,26.005234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/01/2025,35.13,48162,35.89,35.89,34.95,35.13,0.1578773895847067,,,26.785625,26.2998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2025,35.917,18343,35.6,36.05,35.23,35.917,0.0224025049814973,,,27.257600000000004,26.49354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2025,39.11,32507,39.09,39.1875,38.6401,39.11,0.08889940696606047,,,27.894365000000004,26.741332000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2025,35.4064,9862,36.32,36.32,35.405,35.4064,-0.0946970084377397,,,28.328435,26.927156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2025,25.4828,712,25.121,25.4828,25.121,25.4828,-0.2802770120656151,,,28.259965,26.914512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/01/2025,25.7255,567,25.675,25.73,25.5899,25.7255,0.0095240711381794,,,28.244095,26.917822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
