Date,Close/Last,Volume,Open,High,Low,Close,daily_return,MA_20,MA_50
06/01/2016,210.27,69743400.0,209.12,210.48,208.89,210.27,,210.27,210.27
07/01/2016,209.9208,105955800.0,209.36,210.49,209.29,209.9208,,209.9208,209.9208
08/01/2016,216.94,73111310.0,217.19,217.65,216.405,216.94,0.033437372570988666,213.43040000000002,213.43040000000002
09/01/2016,217.39,97720490.0,217.37,217.73,216.03,217.39,0.002074306259795211,214.75026666666668,214.75026666666668
11/01/2016,211.01,122395800.0,212.93,212.99,209.6,211.01,-0.029348176089056488,213.8152,213.8152
12/01/2016,219.57,78874240.0,220.73,220.73,219.15,219.57,0.0405667977820956,214.96616,214.96616
06/02/2016,210.91,62885190.0,209.8,210.93,209.2399,210.91,-0.0394407250535137,214.29013333333333,214.29013333333333
08/02/2016,215.5492,92202880.0,216.65,216.83,214.57,215.5492,-0.018312155576809,215.06333333333336,215.06333333333336
09/02/2016,218.37,79119470.0,218.39,218.87,217.7,218.37,0.0130865714184975,215.53571428571428,215.53571428571428
11/02/2016,209.74,102709200.0,210.65,211.1,209.23,209.74,-0.0395200805971516,214.81125,214.81125
12/02/2016,219.68,74621240.0,219.67,220.25,219.26,219.68,0.0473920091541908,215.35222222222225,215.35222222222225
06/03/2016,210.28,101655600.0,210.25,210.69,208.86,210.28,-0.04278951201748,214.13583333333327,214.13583333333327
08/03/2016,216.18,53665810.0,215.48,216.245,215.13,216.18,-0.0159322651128914,215.435,215.435
10/03/2016,215.78,83386110.0,215.82,216.04,215.04,215.78,-0.0018503099269128,215.46636363636364,215.46636363636364
11/03/2016,208.78,88715720.0,209.99,210.24,208.46,208.78,-0.0324404486050606,214.90916666666664,214.90916666666664
08/04/2016,216.4097,46454000.0,216.31,216.78,214.25,216.4097,0.0365442092154419,215.0245923076923,215.0245923076923
10/04/2016,214.68,119749100.0,215.91,216.17,213.99,214.68,-0.007992710123437052,214.99997857142856,214.99997857142856
11/04/2016,208.55,108488200.0,208.91,209.89,208.38,208.55,-0.0285541270728525,214.56998,214.56998
07/05/2016,208.41,109446800.0,208.95,209.08,207.71,208.41,-0.0006713018460801,214.18498125,214.18498125
08/05/2016,218.18,71799630.0,217.21,218.23,217.07,218.18,0.0468787486205077,214.4199823529412,214.4199823529412
10/05/2016,215.63,72685460.0,215.41,216.13,215.33,215.63,-0.011687597396645,214.48720555555556,214.48720555555556
12/05/2016,221.0,67101250.0,220.65,221.4,220.42,221.0,0.024903770347354248,214.8299842105263,214.8299842105263
27/05/2016,210.24,62797750.0,209.53,210.25,209.47,210.24,-0.0486877828054298,214.316945,214.0639
31/05/2016,209.84,109644300.0,210.56,210.69,209.18,209.84,-0.0019025875190259,213.939445,213.88790416666663
06/06/2016,211.35,64648460.0,210.7,211.77,210.51,211.35,-0.0436651583710407,214.655985,214.655985
07/06/2016,209.66,95760950.0,207.83,209.8,207.06,209.66,-0.0513122171945701,214.571485,214.571485
09/06/2016,219.0308,56528000.0,218.7,219.12,217.86,219.0308,0.04469522083373079,215.02698500000002,214.78383333333335
10/06/2016,215.78,62519840.0,215.37,216.04,214.735,215.78,-0.014841748283803,214.630485,214.49460416666668
12/06/2016,221.7,59512650.0,221.22,221.7441,220.662,221.7,0.027435350820279814,215.184485,215.12784782608693
13/06/2016,208.4492,117376300.0,209.36,210.37,208.35,208.4492,-0.0597690572846189,214.381985,214.5392192307692
14/06/2016,208.04,124789100.0,208.0,208.74,206.9199,208.04,-0.0019630682199787,214.269985,214.4530653846154
15/06/2016,207.75,108745400.0,208.54,209.36,207.53,207.75,-0.0013939626994807,214.089985,214.31460384615383
16/06/2016,208.37,149194500.0,206.73,208.57,205.59,208.37,0.0029843561973526,213.589985,214.0944333333333
17/06/2016,206.52,116531100.0,207.17,207.2,205.75,206.52,-0.0088784373950184,214.010025,214.2530961538461
20/06/2016,207.85,81546570.0,208.82,209.61,207.75,207.85,0.0064400542320355,213.48402500000003,214.01594444444447
21/06/2016,208.44,72259730.0,208.3,208.92,207.78,208.44,0.0028385855184027,212.450485,213.4453233333333
22/06/2016,208.1,94503660.0,208.65,209.5,207.93,208.1,-0.0016311648436,212.066485,213.27289354838712
23/06/2016,210.81,99651290.0,209.81,210.87,209.27,210.81,0.013022585295531,212.167985,213.195928125
24/06/2016,203.13,332774500.0,203.63,210.8463,202.72,203.13,-0.0364309093496514,211.504,212.8909
