Date,Close/Last,Volume,Open,High,Low,Close,daily_return,MA_20,MA_50
30/12/2024,19.85,677,19.85,19.85,19.85,19.85,,19.85,19.85
31/12/2024,19.8177,7674,19.87,21.0,19.8099,19.8177,-0.0016272040302268698,19.833849999999998,19.833849999999998
02/01/2025,19.7474,8020,19.839,19.93,19.7474,19.7474,-0.0035473339489445754,19.80503333333333,19.80503333333333
03/01/2025,20.2343,7692,20.5,20.5,19.9744,20.2343,0.024656410464162448,19.91235,19.91235
06/01/2025,20.505,9865,20.405,20.68,20.405,20.505,0.013378273525646911,20.03088,20.03088
07/01/2025,20.2974,33602,20.65,20.65,20.245,20.2974,-0.010124359912216496,20.0753,20.0753
08/01/2025,20.3374,4298,20.24,20.34,20.2099,20.3374,0.001970695754135887,20.112742857142855,20.112742857142855
10/01/2025,20.1542,32379,20.11,20.23,20.1,20.1542,-0.009008034458682035,20.117925,20.117925
13/01/2025,20.0779,5130,20.5,20.5,19.8,20.0779,-0.0037858113941511284,20.113477777777778,20.113477777777778
14/01/2025,20.2109,4464,20.2,20.249,20.2,20.2109,0.006624198745884824,20.12322,20.12322
15/01/2025,20.6251,2989,20.54,20.66,20.51,20.6251,0.02049389190981099,20.168845454545455,20.168845454545455
16/01/2025,20.7871,3176,20.75,20.97,20.75,20.7871,0.007854507372085484,20.220366666666667,20.220366666666667
17/01/2025,20.9297,54333,20.95,21.0,20.9297,20.9297,0.00686002376473871,20.274930769230767,20.274930769230767
21/01/2025,21.395,7842,21.29,21.41,21.18,21.395,0.022231565669837527,20.354935714285713,20.354935714285713
22/01/2025,21.675,10512,21.74,21.74,21.615,21.675,0.013087169899509199,20.44294,20.44294
23/01/2025,21.46,2791,21.509,21.509,21.424,21.46,-0.009919261822376013,20.50650625,20.50650625
24/01/2025,21.1478,3488,21.38,21.38,21.139,21.1478,-0.014547996272134212,20.544229411764704,20.544229411764704
27/01/2025,20.1358,16228,20.95,20.95,20.04,20.1358,-0.04785367745108238,20.521538888888887,20.521538888888887
28/01/2025,20.1441,3009,20.15,20.1637,20.1398,20.1441,0.0004122011541634052,20.501673684210527,20.501673684210527
29/01/2025,20.165,2490,20.24,20.2462,20.08,20.165,0.0010375246350047274,20.48484,20.48484
30/01/2025,20.4071,1825,20.37,20.4071,20.3,20.4071,0.012005950905033425,20.512695,20.481138095238094
31/01/2025,20.3452,2517,20.57,20.65,20.3452,20.3452,-0.0030332580327435688,20.53907,20.474959090909092
03/02/2025,20.1415,3924,20.3,20.3,19.89,20.1415,-0.010012189607376598,20.558775,20.460460869565217
04/02/2025,20.3986,2500,20.34,20.3986,20.31,20.3986,0.012764689819526831,20.566989999999997,20.45788333333333
05/02/2025,20.6484,3107,20.59,20.65,20.4284,20.6484,0.012245938446756144,20.57416,20.465504
06/02/2025,20.34,4462,20.2795,20.38,20.22,20.34,-0.014935781949206639,20.57629,20.46067692307692
07/02/2025,20.2949,1051,20.51,20.51,20.245,20.2949,-0.00221730580137669,20.574165,20.45453703703704
10/02/2025,20.4645,633,20.43,20.48,20.43,20.4645,0.008356779289378169,20.589679999999998,20.454892857142855
11/02/2025,20.3803,333,20.3803,20.3803,20.3803,20.3803,-0.004114442082631009,20.6048,20.452320689655174
12/02/2025,20.1468,961,20.17,20.2,20.1159,20.1468,-0.01145714243656859,20.601595,20.442136666666666
13/02/2025,20.1005,1251,20.1516,20.1516,20.0897,20.1005,-0.0022981317132249046,20.575364999999998,20.431116129032258
14/02/2025,20.115,1081,20.15,20.15,20.0399,20.115,0.000721375090171783,20.54176,20.4212375
18/02/2025,20.5475,3925,20.4,20.64,20.4,20.5475,0.02150136713895101,20.52265,20.425063636363635
19/02/2025,20.4651,2104,20.445,20.47,20.44,20.4651,-0.004010220221438154,20.476155,20.42624117647059
20/02/2025,20.2901,2073,20.305,20.305,20.12,20.2901,-0.008551143165682062,20.40691,20.422351428571428
21/02/2025,19.8958,652,20.11,20.11,19.8958,19.8958,-0.019433122557306115,20.328699999999998,20.407725
24/02/2025,19.845,5570,19.95,19.95,19.845,19.845,-0.002553302707104077,20.263560000000002,20.392516216216215
