Date,Close/Last,Volume,Open,High,Low,Close,daily_return,daily_return_pct,MA_5,MA_20,MA_50,MA_200,log_ret_1,roc_5,roc_20,sma_20,sma_50,sma_100,rsi_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,KAMA,momentum_12_1,TP,MA_TP,MD,CCI,Williams_R,K,D,J,TR,ATR,log_return,HV_daily,HV_annual,excess_ret,Sharpe_Ratio,CAGR_Full,CAGR_252D,OBV,MFI,vol_6m,BB_mid,BB_upper,BB_lower,next_close,signal
06/01/2016,56.07,6216,55.66,56.13,55.66,56.07,,,,56.07,56.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/01/2016,55.8312,33305,56.2878,56.2878,55.6732,55.8312,-0.004258962011771,,,55.9506,55.9506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2016,57.96,15000,57.79,58.15,57.72,57.96,0.038129218071615734,,,56.8956,56.8956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2016,58.75,4500,58.73,58.75,58.2924,58.75,0.013630089717046268,,,57.513733333333334,57.513733333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2016,58.14,15915,58.44,58.7,57.9,58.14,-0.010382978723404213,,,57.6703,57.6703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2016,65.04,358270,64.89,65.3499,64.82,65.04,0.1186790505675956,,,58.63186666666667,58.63186666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/02/2016,56.3188,21148,55.93,56.33,55.93,56.3188,-0.134089790897909,,,58.30142857142857,58.30142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2016,57.523,15923,57.82,57.85,57.35,57.523,-0.1155750307503075,,,58.87403333333334,58.87403333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2016,59.38,10245,59.08,59.4799,59.08,59.38,0.03228273907828161,,,58.94631428571429,58.94631428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/02/2016,57.41,556557,58.14,58.1916,57.41,57.41,-0.03317615358706649,,,58.754275,58.754275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/02/2016,65.21,192446,65.19,65.38,65.0,65.21,0.13586483191081689,,,59.471577777777775,59.471577777777775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2016,56.3514,20425,56.56,56.56,55.84,56.3514,-0.1358472626897714,,,58.66536666666667,58.66536666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2016,58.0099,13863,57.56,58.0099,57.56,58.0099,-0.110414046925318,,,59.32541,59.32541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2016,58.0,8314,57.9,58.02,57.7503,58.0,-0.000170660525186217,,,59.20491818181818,59.20491818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2016,57.02,33990,57.7,57.7,56.901,57.02,-0.016896551724137843,,,59.022841666666665,59.022841666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2016,57.95,12869,58.03,58.4099,57.8948,57.95,0.0163100666432831,,,58.94031538461539,58.94031538461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2016,57.5636,4973,58.13,58.2318,57.5636,57.5636,-0.0066678170836929,,,58.84197857142857,58.84197857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/04/2016,57.1634,57501,57.3,57.62,56.83,57.1634,-0.0069523101404359,,,58.73007333333333,58.73007333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/05/2016,55.04,13349,55.51,55.51,54.9201,55.04,-0.03714614596052723,,,58.49944375,58.49944375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2016,58.596,30269,58.54,58.72,58.45,58.596,0.06460755813953489,,,58.50512352941176,58.50512352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/05/2016,58.04,18348,57.96,58.21,57.96,58.04,-0.009488702300498253,,,58.47928333333333,58.47928333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/05/2016,65.62,324927,66.15,66.49,65.42,65.62,0.1305995864920746,,,58.85511052631579,58.85511052631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/05/2016,54.81,8860,55.69,55.69,54.7286,54.81,,,,54.81,54.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/05/2016,55.46,15203,55.04,55.649,55.04,55.46,0.0118591497901843,,,55.135000000000005,55.135000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2016,55.75,9347,55.53,55.822,55.53,55.75,0.0052289938694554,,,55.34,55.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/05/2016,55.868,4260,55.71,55.99,55.71,55.868,0.002116591928251,,,55.472,55.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/05/2016,55.9699,9883,55.89,56.0,55.79,55.9699,-0.1470603474550442,,,58.6548,58.38944347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/05/2016,55.79,32562,56.24,56.3,55.5889,55.79,-0.1498018896677843,,,58.645805,58.38162173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2016,56.07,6216,55.66,56.13,55.66,56.07,0.0050188205771644,,,55.67398571428571,55.67398571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/06/2016,56.3188,21148,55.93,56.33,55.93,56.3188,0.0044373105047261,,,56.00334,56.00334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/06/2016,56.3514,20425,56.56,56.56,55.84,56.3514,0.0005788475606722,,,56.06135,56.06135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2016,57.05,16585,56.5201,57.12,56.5201,57.05,-0.1306004266991771,,,58.790865,58.649928571428575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/06/2016,55.3,24836,54.94,55.3445,54.8348,55.3,-0.1572691252666871,,,58.677355,58.677355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2016,57.4905,7384,57.56,57.56,57.25,57.4905,0.0036749301675977,,,56.184050000000006,56.184050000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/06/2016,59.19,16991,59.44,59.44,59.0954,59.19,0.0703435804701628,,,58.845295,58.70176666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/06/2016,58.0,64251,57.82,58.07,57.59,58.0,-0.0201047474235512,,,58.84729500000001,58.66986818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2016,66.0,271015,65.94,66.02,65.18,66.0,0.13793103448275867,,,59.20979500000001,58.9885695652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/06/2016,56.01,16455,57.03,57.03,56.01,56.01,-0.1513636363636363,,,59.103295,58.8644625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/06/2016,55.596,19041,56.22,56.22,55.468,55.596,-0.0073915372254954,,,58.631095,58.733724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/06/2016,55.86,2659,55.9277,56.1759,55.86,55.86,0.0047485430606519,,,58.54794499999999,58.62319615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/06/2016,55.81,6866,55.56,55.86,55.1801,55.81,-0.0008950948800572,,,58.369445,58.51900370370371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/06/2016,55.7585,14511,55.7,55.86,55.4568,55.7585,-0.1551742424242425,,,59.09072,58.85398333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/2016,56.2305,14714,56.58,56.71,56.2305,56.2305,0.0084650770734506,,,58.564595,58.63600384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/06/2016,56.11,3789,56.73,56.73,56.09,56.11,-0.002142965116796014,,,58.579595,58.647542307692305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2016,56.149,11476,56.4127,56.4127,56.1288,56.149,0.0006950632685795,,,57.87054499999999,58.36741724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2016,56.65,5851,56.58,56.6872,56.44,56.65,0.008922687848403221,,,58.380044999999996,58.48696785714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2016,54.6653,18344,54.52,55.48,54.0,54.6653,-0.0350344218887908,,,57.85281,58.355186206896555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/06/2016,53.08,35718,54.49,54.49,52.92,53.08,-0.0290001152467836,,,57.49681499999999,58.10291612903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/06/2016,53.6499,11107,53.62,53.6499,53.2,53.6499,0.01073662396382824,,,57.38880999999999,58.03323548387097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/06/2016,54.58,14898,54.09,54.63,54.0335,54.58,0.017336472202184927,,,57.26681,57.925321875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/06/2016,55.83,9969,54.69,55.83,54.66,55.83,0.0229021619640894,,,57.07312999999999,57.8014794117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2016,55.8312,33305,56.2878,56.2878,55.6732,55.8312,2.1493820526741203e-05,,,55.90354500000001,55.93996153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/07/2016,55.04,13349,55.51,55.51,54.9201,55.04,-0.0141712877387554,,,55.803045,55.84996666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2016,57.28,14701,57.37,57.48,57.22,57.28,0.0259716998029733,,,56.43996,57.6165717948718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2016,55.3,3240,55.32,55.6448,55.1101,55.3,-0.0094931040659144,,,56.76946,57.57937631578948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/07/2016,56.6068,6073,55.82,56.6199,55.82,56.6068,0.0236311030741411,,,55.54335999999999,55.88952666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/07/2016,59.01,4465,59.15,59.276,58.99,59.01,0.06708860759493662,,,57.139959999999995,57.82143714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2016,57.1,74314,57.83,57.83,56.74,57.1,-0.032367395356719175,,,57.242960000000004,57.80139722222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2016,58.26,13159,58.25,58.26,57.9501,58.26,0.0203152364273204,,,57.11466,57.7610605263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/07/2016,66.53,134058,66.11,66.65,65.8168,66.53,0.1419498798489531,,,56.47296,57.7373152173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2016,57.09,15096,57.21,57.29,56.9745,57.09,-0.1418908762964076,,,56.46346,57.8141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/07/2016,57.29,8552,57.39,57.4378,57.21,57.29,0.0035032404974599807,,,57.32366,58.000507500000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/07/2016,57.35,14964,57.62,57.63,57.2582,57.35,0.0010473031942748,,,57.12216,57.93286428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/07/2016,57.32,11789,57.33,57.5592,57.2775,57.32,-0.0005231037489101,,,56.76165999999999,57.72750408163265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/07/2016,57.53,9657,57.32,57.93,57.3,57.53,0.0036636427076064404,,,56.774159999999995,57.958611627906976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/07/2016,57.9,12592,57.89,57.9799,57.535,57.9,0.006431427081522667,,,56.881235000000004,57.95727954545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/2016,57.5186,21339,57.99,58.11,57.351,57.5186,-0.0065872193436959,,,56.94564,57.77377346938776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/07/2016,57.57,22576,57.54,57.6,56.981,57.57,0.0008936239755488184,,,57.018640000000005,57.93932391304348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2016,57.25,36220,57.46,57.46,57.25,57.25,-0.0055584505819002,,,57.07369,57.880602083333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/07/2016,57.93,28129,57.29,57.9599,57.29,57.93,0.0118777292576419,,,57.13769,57.797474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/07/2016,58.0809,9099,58.05,58.2576,57.88,58.0809,0.0026048679440704,,,57.30847,57.886172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
